"hs.temp","hs.num","tot.n","died.n","surv.prop"
0,0,30,4,0.133333333333333
40,1,58,7,0.120689655172414
40,2,53,2,0.0377358490566038
40,3,59,8,0.135593220338983
40,4,66,12,0.181818181818182
42,1,57,10,0.175438596491228
42,2,64,15,0.234375
42,3,53,4,0.0754716981132075
42,4,61,8,0.131147540983607
